,Episode,Description,Duration,Year,Series
382,Ep 402 - XXX,Flint accedes to Billy's authority. Eleanor has a plan for Rogers. Silver seeks help from an unlikely source. Max is put on notice.,59 MINS,2017,Black Sails
383,Ep 403 - XXXI,Max runs afoul of the law. Rogers reckons with his past. Flint and Madi reach an understanding. Long John Silver makes his return.,60 MINS,2017,Black Sails
384,Ep 404 - XXXII,Violence engulfs Nassau. Silver demands answers from Billy. Eleanor comes to Max's aid. Bonny and Rackham endure hell.,62 MINS,2017,Black Sails
385,Ep 405 - XXXIII,Silver takes Flint's life in his hands. Billy drives a wedge. Eleanor risks everything. Rogers makes a stunning appeal.,59 MINS,2017,Black Sails
386,Ep 406 - XXXIV,Nassau is delivered. Silver makes a painful amends. Flint and Madi are separated. Rogers searches for Eleanor.,62 MINS,2017,Black Sails
387,Ep 407 - XXXV,Flint urges caution on an enraged Silver. Max leads Rackham and Bonny up river. Billy finds a survivor. Rogers learns the truth.,61 MINS,2017,Black Sails
388,Ep 408 - XXXVI,A rescue plan threatens to divide Flint and Silver. Max learns the true price of freedom. Rackham seeks his prey. The Walrus enters uncharted territory.,61 MINS,2017,Black Sails
389,Ep 409 - XXXVII,Silver and his men hunt for Flint on Skeleton Island. Madi is made an offer. Rogers struggles to hear Eleanor. Billy casts his lot.,56 MINS,2017,Black Sails
390,Ep 410 - XXXVIII,Flint makes one last push to topple England. Silver seals his fate. Rackham confronts Rogers. Nassau is changed forever.,73 MINS,2017,Black Sails
391,Ep 101 - Eden,"Tony and Emily Hughes' life changes forever when their 5 year-old son, Oliver, disappears during a family holiday in France, triggering an obsessive, years-long manhunt.",60 MINS,2014,The Missing
392,Ep 102 - Pray For Me,"In 2006, suspicion falls on a local resident while a benefactor comes to the aid of Tony and Emily. In the present day, Tony's attempt to re-open the investigation gathers momentum.",60 MINS,2014,The Missing
393,Ep 103 - The Meeting,"In 2006, secrets from Tony's past come back to haunt him and Julien is given a potential lead. In the present day, the case is officially re-opened. Emily faces demons from her past.",60 MINS,2014,The Missing
394,Ep 104 - Gone Fishing,"In 2006, a key witness is found murdered. Tony is troubled by his relationship with Ian. In the present day, Julien re-investigates the connection to a dead witness.",61 MINS,2014,The Missing
395,Ep 105 - Molly,"In 2006, Tony and Emily plead with police to investigate a suspected pedophile. Tony takes matters into his own hands. In the present day, Tony and Julien try to find a person of interest in Paris.",60 MINS,2014,The Missing
396,Ep 106 - Concrete,"In 2006, Tony conceals his tracks, while Emily's world collapses around her. Julien encounters danger. In the present day, Tony and Julien look for someone who may have a new lead.",61 MINS,2014,The Missing
397,Ep 107 - Return to Eden,"In 2009, the case takes a turn when another young boy goes missing. Tony and Emily's marriage erodes. In the present day, Tony, Julien and Emily receive breaking information.",60 MINS,2015,The Missing
398,Ep 108 - Till Death,"In the present day, new evidence brings Tony, Emily, Julien and Mark closer to finding out the truth behind Oliver's disappearance, after eight long years of searching.",61 MINS,2015,The Missing
399,Ep 201 - Come Home,"When a young woman (who was abducted as a child) returns to her hometown, her family is thrown into turmoil. Her name is Alice Webster. Two years later, detective Julien Baptiste resumes the...",61 MINS,2017,The Missing
400,Ep 202 - The Turtle And The Stick,The Webster's struggle to cope with the return of their daughter as the search for another missing girl intensifies. The shockwaves of Alice’s return are still felt two years on.,61 MINS,2017,The Missing
401,Ep 203 - A Prison Without Walls,"While Julien pursues the Giroux case in Paris, a devastating act set to tear the Webster's apart. Two years later, Gemma discovers a vital clue.",61 MINS,2017,The Missing
402,Ep 204 - Statice,"While Julien continues the hunt for Sophie, the Webster family implodes. Breaks in the case during 2014 and 2016, point Julien towards two key suspects.",60 MINS,2017,The Missing
403,Ep 205 - Das Vergessen,"As Julien gets closer to the truth in 2014, his body weakens. Two years later, a third suspect is thrown into the case.",61 MINS,2017,The Missing
404,Ep 206 - Saint John,"During 2015, a new piece of evidence surfaces. A year later, Julien's investigation is closing in on the missing girl.",61 MINS,2017,The Missing
405,Ep 207 - 1991,"Julien finally uncovers the truth about a missing girl, but after the police dismiss his theory, he is forced to take matters into his own hands.",60 MINS,2017,The Missing
406,Ep 208 - The Mountain,"The events that led up to Alice's return to Eckhausen in 2014 are finally revealed, as Sam and Gemma join Julien in a desperate race against time.",60 MINS,2017,The Missing
407,Ep 101 - In The Offing,"Star basketball player Cam Calloway signs a pro contract with Atlanta, and is embraced by the city. But his entourage - sister, mother, cousin and wife and uncle - are proving to be a liability.",30 MINS,2014,Survivor's Remorse
408,Ep 102 - On The Carpet,"Cam's mother overshares about his upbringing at a charity gala for an abused child, with huge implications. Uncle Julius takes on a new role as a 'talent scout' for Cam.",27 MINS,2014,Survivor's Remorse
409,Ep 103 - How To Build A Brand,Cam follows Reggie and Missy's advice and visits a dying teen who loves basketball - but the boy has an unexpected wish. Reggie tells Cam to put the family on his payroll.,26 MINS,2014,Survivor's Remorse
410,Ep 104 - The Decisions,"Missy campaigns to get Reggie into an exclusive black-founded country club, but accepting the membership has consequences. Cam searches for a church to support, but a pastor surprises him.",29 MINS,2014,Survivor's Remorse
411,Ep 105 - Out Of The Past,A childhood friend of Cam and Reggie's emerges - a talented baller derailed by prison time. Reggie gives Cassie a budget to house hunt. Cam considers a shoe endorsement deal.,27 MINS,2014,Survivor's Remorse
412,Ep 106 - Six,"When an old flame reaches out to Reggie, some of the family intervenes.",28 MINS,2014,Survivor's Remorse
413,Ep 201 - Grown-Ass Man,"The Calloway's new mansion makes the penthouse look like a one-bedroom. Cam's max deal comes with serious strings attached to owner Jimmy Flaherty, who wants as much time as is contractually allowed.",31 MINS,2015,Survivor's Remorse
414,Ep 202 - A Time To Punch,Cam and M-Chuck have always fought but media fallout and scrutiny from a DA about domestic abuse takes them by surprise. Uncle Julius battles with a neighbor whose dog does his business on t...,27 MINS,2015,Survivor's Remorse
415,Ep 203 - M.V.P.,Cassie rejoins the dating world and her determination to get what she wants sets her on a collision course with Cam. And his checkbook. Reggie meets the strange and brilliant man who made Fl...,27 MINS,2015,Survivor's Remorse
416,Ep 204 - Homebound,"It's Cam's first game back in Boston and the pressure is getting to him...and to Reggie. The family takes a cultural tour of a plantation, where M-Chuck decides to delve into the lingering ...",28 MINS,2015,Survivor's Remorse
417,Ep 205 - One-Love,"Reggie meets Jupiter Blackmon, a college prospect headed for the NFL, whose manager rustles up trouble. Reggie sees an opportunity to rep Jupiter. M-Chuck is drawn into the world of a young ...",28 MINS,2015,Survivor's Remorse
418,Ep 206 - The Dagger,"Chen is throwing a gala to launch Cam's shoe but his focus is wooing Cassie. Cam, usually smart about mixing work and romance, is reckless with a reporter. When it goes awry, Reggie tries no...",27 MINS,2015,Survivor's Remorse
419,Ep 207 - The Injury,"Just when Cam couldn't be lower, facing a career ending injury, he meets a girl who could be ""the one."" Reggie's life would be easier with only one, as repping Jupiter starts to seem like a ...",27 MINS,2015,Survivor's Remorse
420,Ep 208 - The Date,"Smitten with Allison, Cam puts on a magical first date. Uncle Julius learns how the other half lives on a disturbing jaunt with the police and M-Chuck uses her therapy to drive her mother cr...",29 MINS,2015,Survivor's Remorse
421,Ep 209 - Guts,"Jupiter's draft status hangs in the balance so Reggie enlists Missy to tutor him. Missy thinks it'll be a snap but is challenged. Cam and Allison's romance expands, as do Reggie's business prospects.",28 MINS,2015,Survivor's Remorse
422,Ep 210 - Starts And Stops,"Reggie questions his decision to represent Jupiter, but Cam has no doubt about Allison. He is in love...even more so after Allison declines his expensive gifts. The family experiences a crisis.",26 MINS,2015,Survivor's Remorse
423,Ep 301 - Night Of The Crash,The family copes with the tragic loss of a family member and the sudden hole it leaves in their lives.,32 MINS,2016,Survivor's Remorse
424,Ep 302 - The Ritual,The Calloway and Vaughns comfort one another as they try to navigate their way through the most trying ritual of their lives in Atlanta.,28 MINS,2016,Survivor's Remorse
425,Ep 303 - The Thank-You Note,"After meeting a wealthy Atlanta couple, Reggie and Missy argue about the importance of modern manners and the role that etiquette plays in social affairs.",29 MINS,2016,Survivor's Remorse
426,Ep 304 - The Age Of Umbrage,Cam's words during an interview are taken out of context and twisted into a scandal that the whole family is drawn into - one that leads to the creation of the Calloway Philanthropic Trust.,29 MINS,2016,Survivor's Remorse
427,Ep 305 - The Photoshoot,Missy comes into her own as a media consultant and must cope with the fallout of a decision at a photo shoot for Cam. Chen and Cassie try to close the gap of a long distance relationship wit...,29 MINS,2016,Survivor's Remorse
428,Ep 306 - No Child Left Behind,"Cassie has her DNA tested to discover more about her roots. After doing so, she meets a new family who helps her experience the traditions of the culture. Reggie and Cam try to get rid of Un...",28 MINS,2016,Survivor's Remorse
429,Ep 307 - The Guests,Cam and Reggie go back to Boston for a wedding. M-Chuck pursues a new relationship-with many different women.,29 MINS,2016,Survivor's Remorse
430,Ep 308 - Mystery Team,Reggie and Flaherty battle over a contract extension for Cam.,28 MINS,2016,Survivor's Remorse
431,Ep 309 - Second Thoughts,Cam uncovers secrets about his family's past and deals with the fallout.,28 MINS,2016,Survivor's Remorse
432,Ep 310 - Father's Day,"Reggie copes with his father's sudden appearance in Atlanta, Cassie meets Chen's parents.",28 MINS,2016,Survivor's Remorse
433,Ep 401 - Fallout,"Cam, Reggie, and Mary Charles' attempts to reconcile their paternal relationships see varying results. Cassie and Chen attempt to enjoy their time in Shanghai.",31 MINS,2017,Survivor's Remorse
434,Ep 402 - Repercussions,"Cam's visit to Walpole sends him on a wild goose chase in to the past, Missy gets a worrisome phone call, and M-Chuck gives some teenagers a piece of her mind.",29 MINS,2017,Survivor's Remorse
435,Ep 403 - Closure,M-Chuck has unconventional ideas about closure and Cam sees his father in a new light. Reggie and Trent head north.,28 MINS,2017,Survivor's Remorse
436,Ep 404 - Feel Free To Comment,"Cam and Allison have a run-in with some fans, Reggie advises Missy to think twice about taking on a job, and Cassie's podcast lands on a hot topic.",28 MINS,2017,Survivor's Remorse
